,1.5-2.5K,2.5-5.5K,5.5K+
680-719,0.0389702,0.0363702,0.0349702
720-759,0.0313702,0.0289702,0.0289702
760-799,0.0313702,0.0289702,0.0289702
800-850,0.0313702,0.0289702,0.0289702
