,1.5-2.5K,2.5-5.5K,5.5K+
680-719,0.0408972,0.0384972,0.0364972
720-759,0.0334972,0.0308972,0.0308972
760-799,0.0334972,0.0308972,0.0308972
800-850,0.0334972,0.0308972,0.0308972
