,1.5-2.5K,2.5-5.5K,5.5K+
680-719,0.0398972,0.0374972,0.0354972
720-759,0.0324972,0.0298972,0.0298972
760-799,0.0324972,0.0298972,0.0298972
800-850,0.0324972,0.0298972,0.0298972
