,1.5-2.5K,2.5-5.5K,5.5K+
680-719,0.0404872,0.0380872,0.0360872
720-759,0.0330872,0.0304872,0.0304872
760-799,0.0330872,0.0304872,0.0304872
800-850,0.0330872,0.0304872,0.0304872
